NODES_1;U1_1;U2_1;U3_1;R1_2;R2_2;R3_2;U1_2;U2_2;U3_2;R1_2;R2_2;R3_2;U1_3;U2_3;U3_3;R1_3;R2_3;R3_3;U1_4;U2_4;U3_4;R1_4;R2_4;R3_4;U1_5;U2_5;U3_5;R1_5;R2_5;R3_5
1;0,000393851;-5,21E-06;1,28E-06;-3,81E-06;1,23E-05;-1,12E-05;0,000393851;-5,21E-06;1,28E-06;-3,81E-06;1,23E-05;-1,12E-05;0,000351914;-4,66E-05;6,55E-06;-2,26E-05;2,56E-05;7,97E-05;0,000685754;-5,62E-05;8,87E-06;-2,90E-05;1,12E-05;4,25E-05;0,001406774;-0,00011579;1,97E-05;-6,59E-05;4,64E-05;0,000133206
2;9,28E-05;-5,04E-05;8,10E-06;-2,37E-05;-1,75E-05;-7,97E-05;9,28E-05;-5,04E-05;8,10E-06;-2,37E-05;-1,75E-05;-7,97E-05;3,45E-05;-9,41E-06;3,00E-06;-5,05E-06;-8,59E-06;1,08E-05;0,00013388;-5,64E-05;9,67E-06;-2,78E-05;-2,67E-05;-7,37E-05;0,000254743;-0,00011113;1,80E-05;-6,43E-05;-5,34E-05;-0,000133103
3;8,82E-05;-6,79E-05;1,30E-05;-1,90E-05;-1,31E-05;-6,52E-05;8,82E-05;-6,79E-05;1,30E-05;-1,90E-05;-1,31E-05;-6,52E-05;3,59E-05;-1,26E-05;4,43E-06;-4,05E-06;-6,45E-06;1,48E-05;0,000129612;-7,64E-05;1,58E-05;-2,24E-05;-1,98E-05;-5,39E-05;0,000251214;-0,000151274;2,90E-05;-5,32E-05;-3,84E-05;-9,79E-05
4;0,000390376;-7,54E-06;2,41E-06;-3,11E-06;9,58E-06;-1,57E-05;0,000390376;-7,54E-06;2,41E-06;-3,11E-06;9,58E-06;-1,57E-05;0,00035159;-6,33E-05;1,13E-05;-1,82E-05;2,03E-05;6,43E-05;0,000690532;-7,66E-05;1,38E-05;-2,47E-05;5,87E-06;3,24E-05;0,001413994;-0,000156947;3,11E-05;-5,44E-05;3,23E-05;9,88E-05
5;9,23E-05;-8,14E-05;1,82E-05;-1,41E-05;-8,63E-06;-6,15E-05;9,23E-05;-8,14E-05;1,82E-05;-1,41E-05;-8,63E-06;-6,15E-05;3,91E-05;-1,53E-05;5,84E-06;-3,13E-06;-4,45E-06;1,57E-05;0,000136287;-9,19E-05;2,22E-05;-1,66E-05;-1,26E-05;-4,87E-05;0,000266635;-0,000184253;4,06E-05;-4,16E-05;-2,32E-05;-9,23E-05
6;0,000384354;-9,56E-06;3,59E-06;-2,39E-06;7,00E-06;-1,61E-05;0,000384354;-9,56E-06;3,59E-06;-2,39E-06;7,00E-06;-1,61E-05;0,000341705;-7,61E-05;1,63E-05;-1,34E-05;1,50E-05;6,09E-05;0,000688115;-9,42E-05;1,89E-05;-2,03E-05;4,45E-07;3,25E-05;0,001403173;-0,000190673;4,29E-05;-4,26E-05;1,79E-05;9,26E-05
7;9,56E-05;-9,10E-05;2,33E-05;-9,11E-06;-5,66E-06;-5,96E-05;9,56E-05;-9,10E-05;2,33E-05;-9,11E-06;-5,66E-06;-5,96E-05;4,18E-05;-1,74E-05;7,23E-06;-2,26E-06;-3,00E-06;1,59E-05;0,000141236;-0,000103095;2,85E-05;-1,08E-05;-7,55E-06;-4,64E-05;0,000278623;-0,000209595;5,24E-05;-2,97E-05;-1,24E-05;-9,26E-05
8;0,00037922;-1,11E-05;4,76E-06;-1,72E-06;5,11E-06;-1,57E-05;0,00037922;-1,11E-05;4,76E-06;-1,72E-06;5,11E-06;-1,57E-05;0,000333081;-8,53E-05;2,13E-05;-8,50E-06;1,13E-05;5,97E-05;0,000687024;-0,000108513;2,43E-05;-1,56E-05;-3,40E-06;3,47E-05;0,001395351;-0,000216569;5,49E-05;-3,04E-05;7,74E-06;9,22E-05
9;9,60E-05;-9,59E-05;2,83E-05;-4,24E-06;-4,03E-06;-5,68E-05;9,60E-05;-9,59E-05;2,83E-05;-4,24E-06;-4,03E-06;-5,68E-05;4,32E-05;-1,88E-05;8,62E-06;-1,39E-06;-1,97E-06;1,63E-05;0,000141785;-0,000108989;3,48E-05;-5,21E-06;-4,49E-06;-4,30E-05;0,000281789;-0,00022594;6,44E-05;-1,75E-05;-5,77E-06;-9,00E-05
10;0,000375586;-1,23E-05;5,92E-06;-1,04E-06;3,82E-06;-1,55E-05;0,000375586;-1,23E-05;5,92E-06;-1,04E-06;3,82E-06;-1,55E-05;0,000327631;-8,98E-05;2,62E-05;-3,78E-06;9,32E-06;5,75E-05;0,00069005;-0,000119124;3,00E-05;-1,05E-05;-5,86E-06;3,54E-05;0,001396076;-0,000233295;6,71E-05;-1,80E-05;1,46E-06;8,88E-05
11;9,66E-05;-9,71E-05;3,30E-05;2,04E-07;-3,15E-06;-5,48E-05;9,66E-05;-9,71E-05;3,30E-05;2,04E-07;-3,15E-06;-5,48E-05;4,44E-05;-1,95E-05;1,00E-05;-5,18E-07;-1,15E-06;1,64E-05;0,000142138;-0,000110701;4,06E-05;-3,95E-08;-2,61E-06;-4,09E-05;0,000284456;-0,000233994;7,63E-05;-5,39E-06;-1,43E-06;-9,04E-05
