x;y1;y2
0,0012;-0,065549429;-0,058962537
0,0024;-0,121516464;-0,092959912
0,0036;0,097672239;-0,020810322
0,0048;-0,025516428;0,040600262
0,006;-0,02495048;0,112773004
0,0072;0,022708985;0,180404624
0,0084;-0,068835228;0,176706155
0,0096;-0,088146788;0,086999942
0,0108;-0,198909894;0,033067425
0,012;-0,099668355;0,019296119
0,0132;-0,04637893;-0,06315912
0,0144;-0,104569387;-0,104336485
0,0156;-0,090337381;-0,067776001
0,0168;-0,111916321;-0,061655955
0,018;-0,037001415;-0,129430289
0,0192;-0,140287761;-0,16350596
0,0204;-0,164156443;-0,076162609
0,0216;-0,100850969;-0,036634898
0,0228;-0,217280559;-0,019004875
0,024;-0,061309588;0,085246807
0,0252;-0,007074698;0,120774423
0,0264;-0,039505561;0,077625022
0,0276;0,250343662;0,010473872
0,0288;0,0830782;-0,02473088
0,03;-0,026851124;-0,010510605
0,0312;0,304581842;-0,076074312
0,0324;0,050709554;-0,098717201
0,0336;0,009272426;-0,056094901
0,0348;0,254516257;-0,1195878
0,036;-0,048505106;-0,103995532
0,0372;-0,11836552;-0,017835378
0,0384;-0,054004071;-0,080974387
0,0396;-0,205645511;-0,070986103
0,0408;-0,033073673;0,038954594
0,042;0,054176165;-0,009153453
0,0432;-0,203711183;-0,042158718
0,0444;0,093955559;0,023682574
0,0456;0,381469178;0,00033436
0,0468;0,061067745;-0,037736392
0,048;0,281645302;-0,038702332
0,0492;0,290133068;-0,062317109
0,0504;-0,029157085;-0,065949591
0,0516;0,307688379;-0,07434595
0,0528;0,066963275;-0,095921958
0,054;-0,040754258;-0,072622343
0,0552;0,294537634;-0,063310724
0,0564;-0,155381821;-0,075541228
0,0576;-0,167513574;-0,022205833
0,0588;0,022109359;0,053121373
0,06;-0,332215534;0,088303918
0,0612;-0,213852716;0,111384006
0,0624;0,065700159;0,146156733
0,0636;-0,106564056;0,152865371
0,0648;0,037076411;0,099416646
0,066;0,21093608;0,052920658
0,0672;-0,103060001;0,011153524
0,0684;0,013803203;-0,080870287
0,0696;0,055496123;-0,10544429
0,0708;-0,112482903;-0,050567294
0,072;0,141719044;-0,076061861
0,0732;0,010994692;-0,106660432
0,0744;-0,153778477;-0,080112326
0,0756;-0,059930112;-0,012128536
0,0768;-0,159783801;0,073916871
0,078;-0,146471896;0,054097869
0,0792;-0,071795779;0,110085125
0,0804;0,0358483;0,237883761
0,0816;0,077622111;0,124830328
0,0828;-0,086931133;-0,03714186
0,084;-0,098278558;-0,037739517
0,0852;0,009975837;-0,083179495
0,0864;-0,049234929;-0,217275466
0,0876;-0,049404512;-0,255106366
0,0888;0,091014914;-0,176018258
0,09;-0,059346679;-0,104037148
0,0912;-0,256616676;-0,085823717
0,0924;-0,166010406;-0,05467514
0,0936;-0,179384095;0,031595509
0,0948;-0,176406912;0,094722324
0,096;-0,05172496;0,074473343
0,0972;-0,052134848;0,07541383
0,0984;0,027808148;0,108944394
0,0996;0,010052108;0,026311316
0,1008;-0,204890231;-0,020269909
0,102;-0,014405286;0,02249654
0,1032;0,110957802;-0,028795265
0,1044;0,049397348;0,000502207
0,1056;0,257878078;0,086776852
0,1068;0,075470983;0,041000567
0,108;0,011262185;-0,020122297
0,1092;0,132757233;-0,031123426
0,1104;-0,209197213;0,017052723
0,1116;-0,273357005;-0,032803685
0,1128;-0,181758103;-0,171894666
0,114;-0,201264599;-0,132468278
0,1152;-0,190619534;-0,109716001
0,1164;-0,140033701;-0,219405651
0,1176;0,037798634;-0,26151571
0,1188;-0,011481719;-0,210641902
0,12;-0,054769487;-0,057626743
0,1212;0,170287356;0,000157109
0,1224;0,296729431;-0,053517898
0,1236;0,227028926;0,084820687
0,1248;0,339257163;0,119107074
0,126;0,33575155;-0,06254967
0,1272;0,170716471;-0,046466444
0,1284;0,189217675;0,006673217
0,1296;-0,011800058;-0,089863249
0,1308;0,090590265;-0,157520061
0,132;0,144656641;-0,143461082
0,1332;-0,290057166;-0,126830139
0,1344;-0,164388171;-0,137109327
0,1356;-0,022166698;-0,085107574
0,1368;-0,223080371;-0,040806835
0,138;-0,038202776;-0,000617438
0,1392;0,054991519;0,082233049
0,1404;0,023782229;0,100199166
0,1416;0,212617445;0,175823513
0,1428;0,117931497;0,213335991
0,144;0,076788317;0,10719125
0,1452;0,284012283;0,092456103
0,1464;0,097970789;0,028678904
0,1476;-0,060865559;-0,130774111
0,1488;0,135140717;-0,142816561
0,15;0,090258038;-0,094772617
0,1512;-0,120374114;-0,089379582
0,1524;0,01351869;-0,012293633
0,1536;-0,015328164;0,141092724
0,1548;-0,308911685;0,208443612
0,156;-0,05145147;0,208537024
0,1572;-0,010835555;0,181238861
0,1584;-0,146943885;0,114560842
0,1596;0,206409043;0,045369335
0,1608;0,074696654;-0,117133019
0,162;-0,027811948;-0,226175797
0,1632;0,140425381;-0,215428006
0,1644;-0,110203256;-0,250968193
0,1656;-0,022880954;-0,264686688
0,1668;0,070515293;-0,195140891
0,168;-0,14280643;-0,09372704
0,1692;-0,072575572;-0,072102358
0,1704;-0,096136806;0,018636814
0,1716;-0,19948389;0,147441119
0,1728;-0,120465378;0,030596306
0,174;0,070041419;0,013938874
0,1752;0,152403963;0,084072747
0,1764;0,046881495;-0,066237321
0,1776;-0,006166597;-0,064053069
0,1788;0,112482094;0,103241502
0,18;0,206051608;0,066834269
0,1812;0,0883448;-0,01794974
0,1824;0,219815073;0,056980385
0,1836;0,258962346;0,090098899
0,1848;-0,071460394;0,071547519
0,186;-0,05085555;0,079575269
0,1872;-0,090780285;0,015943952
0,1884;-0,337481391;0,007829267
0,1896;-0,318650385;-0,032946037
0,1908;-0,272007372;-0,161997039
0,192;-0,13671619;-0,153898366
0,1932;-0,023816909;-0,164046545
0,1944;-0,030264798;-0,217503069
0,1956;0,161436802;-0,152157528
0,1968;0,250039652;-0,081613079
0,198;0,182021559;-0,027258127
0,1992;0,189662553;0,067149593
0,2004;0,213837723;0,09512799
0,2016;0,292012019;0,034235843
0,2028;0,032758241;0,014882286
0,204;-0,035939976;-0,027679412
0,2052;0,177120623;-0,127029201
0,2064;-0,15265103;-0,131499566
0,2076;-0,13836806;-0,139663325
0,2088;-0,00644203;-0,206617698
0,21;-0,207779816;-0,182552506
0,2112;-0,135113941;-0,123474728
0,2124;-0,190893236;-0,089301516
0,2136;-0,022141527;-0,016619872
0,2148;0,203810555;0,075912002
0,216;0,105602571;0,179003316
0,2172;0,273568265;0,271378542
0,2184;0,428417018;0,267259374
0,2196;0,300711435;0,218849038
0,2208;0,131458345;0,154221044
0,222;0,240736058;0,000305728
0,2232;0,174392652;-0,130484465
0,2244;-0,101362811;-0,145027085
